교차로번호,교차로명,연동교차로코드,구코드,지번,계량기번호,도로구분,경도,위도
1354,남서울주유소,0,540,961-13대,-,001,126.90335793527878,37.47391803451248
1355,문성골길입구(연등),1356,540,961-6대,-,001,126.90346006299673,37.47497465162759
1356,문성골길입구,0,540,995-5도,-,001,126.90360427769114,37.47623231306878
1357,서원빌딩,0,540,995-2도,-,001,126.90375620286052,37.47804200756424
1358,문성중(연등)1,1360,540,898-13대,-,001,126.90599760685281,37.47651889859116
1360,문성중,0,540,47-17대,-,001,126.90767020291531,37.476737250118184
1361,난곡중(연등),1362,540,906-47 도,-,001,126.91064454228197,37.4771245169632
1362,미성초교,0,620,1482-8대,-,001,126.91278077673175,37.47739039002905
1363,미성초교(연등),1362,620,1642-1 도,-,001,126.91369850174114,37.477507645699745
1364,난곡우체국앞,0,620,1642-1도,-,001,126.91533343886628,37.4777053602643
1365,난우지구대,0,620,527-15대,-,001,126.91495711211364,37.47974454013238
1366,국민은행난곡,1367,620,1566-32대,-,001,126.91566285694854,37.47674928919723
1367,난곡119안전센터,0,620,산197-1임,-,001,126.9161636690712,37.475899081322574
1368,난우초교입구,1367,620,808-169천,-,001,126.91678489720681,37.47526443528035
1369,세이브마트,0,620,808-647 천,-,001,126.9175822607438,37.4739854815807
