음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000015962,02-0000025213,-,대한신호㈜,-,2,1,001,20690,-,126.87935448406519,37.479508520544364
24-0000015961,02-0000025212,-,대한신호㈜,-,2,1,001,20689,-,126.87928793357638,37.479588417098256
24-0000013831,02-0000029666,180,대한신호㈜,-,2,1,001,18559,1  ,126.91773716017302,37.51485443959432
24-0000013830,02-0000029667,180,대한신호㈜,-,2,1,001,18558,1  ,126.91791334395809,37.51502569106744
24-0000006181,02-0000161114,180,대한신호㈜,0,2,1,001,12133,1  ,126.90831189849156,37.450970306206514
24-0000008902,02-0000030546,90 ,대한신호㈜,0,2,1,001,3331,1  ,126.91038932871794,37.510898032475446
24-0000008908,02-0000030544,315,대한신호㈜,0,2,1,001,3329,1  ,126.91055366769396,37.51061710003996
24-0000002544,02-0000040013,180,대한신호㈜,-,2,1,001,3935,1  ,126.897888853939,37.50508384178107
24-0000003631,02-0000029212,180,대한신호㈜,-,2,1,001,3208,1  ,126.8981601256018,37.50520289599163
24-0000002463,02-0000029211,180,대한신호㈜,-,2,1,001,3207,1  ,126.89803969934437,37.50539425565847
24-0000015972,02-0000058073,-,대한신호㈜,-,2,1,001,20700,-,126.89854269870861,37.510453838243286
24-0000015971,02-0000058067,-,대한신호㈜,-,2,1,001,20699,-,126.89845769739473,37.51058103203888
24-0000015970,02-0000058090,-,대한신호㈜,-,2,1,001,20698,-,126.89891674857796,37.510758858296036
24-0000015969,02-0000058093,-,대한신호㈜,-,2,1,001,20697,-,126.89872239938758,37.51086901748243
24-0000015968,02-0000025215,-,대한신호㈜,-,2,1,001,20696,-,126.8791686966192,37.479492569560804
24-0000015978,02-0000147580,-,대한신호㈜,-,2,1,001,20706,-,126.88117415885978,37.48118240649668
24-0000015977,02-0000147578,-,대한신호㈜,-,2,1,001,20705,-,126.8813223911227,37.481283918934786
24-0000002438,02-0000097774,45 ,대한신호㈜,0,2,1,001,8065,1  ,126.92044636263181,37.49868888079814
24-0000002439,02-0000029770,180,대한신호㈜,-,2,1,001,3261,1  ,126.92015903018974,37.49879248990839
24-0000005641,02-0000158047,180,신흥IND,0,2,1,001,11708,1  ,126.98022642881558,37.55939986989924
24-0000014877,02-0000198124,180,신흥IND,-,2,1,001,19605,1  ,126.9800487856111,37.5592535424785
24-0000012927,02-0000171373,180,(주)대한신호,-,2,1,001,17655,1  ,127.123824356883,37.48279644689209
24-0000010589,02-0000171375,180,대한신호,-,2,1,001,15317,1  ,127.12388379647754,37.48233202746196
24-0000010588,02-0000171374,180,(주)대한신호,-,2,1,001,15316,1  ,127.12374274723258,37.48262360423444
24-0000014790,02-0000156696,180,한길에이치씨,-,2,1,001,19518,1  ,126.8827555640706,37.47796887346401
24-0000008833,02-0000172141,45 ,대한신호㈜,0,2,1,001,13335,1  ,126.88830700427125,37.47780186405299
24-0000006239,02-0000154231,180,대한신호㈜,0,2,1,001,11382,1  ,126.90573574193168,37.45090912410306
24-0000006238,02-0000154315,180,대한신호㈜,0,2,1,001,11386,1  ,126.90574154392147,37.450788618197855
24-0000006237,02-0000154232,180,대한신호㈜,0,2,1,001,11383,1  ,126.90582149514675,37.4506816866013
24-0000006236,02-0000161253,180,대한신호㈜,0,2,1,001,12195,1  ,126.90595818646685,37.45067465043281
24-0000008945,02-0000022329,0  ,대한신호㈜,0,2,1,001,2549,1  ,126.9057074869367,37.456364126976496
24-0000009283,02-0000132393,180,대한신호㈜,-,2,1,001,14011,1  ,126.90534826560717,37.458187243316566
