음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000019928,02-0000169383,-,휴먼테크,-,2,1,001,24656,-,127.0181891149014,37.56550468933777
24-0000009300,02-0000107054,180,-,-,1,1,001,14028,1  ,126.88997707905911,37.47918551468805
24-0000010528,02-0000099096,180,-,-,1,1,001,15256,1  ,127.04540385938967,37.49656312680805
24-0000017910,02-0000215896,-,대한신호,-,2,1,001,22638,-,127.03349769119102,37.60078572945427
24-0000012693,02-0000222604,180,신흥IND,-,2,1,001,17421,1  ,127.05609031528367,37.54959797620291
24-0000010313,02-0000060646,180,-,-,2,1,001,15041,1  ,126.92057599269715,37.46692673974577
24-0000010530,02-0000120313,180,진우산전,-,2,1,001,15258,1  ,127.04991327079073,37.50281654365368
24-0000010534,02-0000036432,180,(주)한길HC,-,2,1,001,15262,1  ,127.05360749415932,37.4951221342022
24-0000010539,02-0000178490,180,(주)대한신호,-,2,1,001,15267,1  ,127.03079138697339,37.49909420009398
24-0000010543,02-0000108925,180,(주)대한신호,-,2,1,001,15271,1  ,127.0312466123875,37.49882421966444
24-0000003355,02-0000011890,180,한길에이치씨,-,2,1,001,1298,1  ,126.97338563027978,37.574018312591946
24-0000020116,02-0000123716,-,대한신호,-,2,1,001,24844,-,,
24-0000010660,02-0000156742,180,-,-,2,1,001,15388,1  ,127.02299363871848,37.63612729664541
24-0000017892,02-0000215885,-,대한신호,-,2,1,001,22620,-,126.98112927246233,37.581595200728
24-0000010687,02-0000144734,180,-,-,1,1,001,15415,1  ,126.94884163137355,37.53440097887923
24-0000003403,02-0000124473,180,한길HC,-,2,1,001,9899,1  ,126.97943471212153,37.5659319581839
24-0000003979,02-0000124885,180,대한신호,-,2,1,001,9924,1  ,126.97934347799904,37.566127158078885
24-0000010942,02-0000179863,0  ,대한신호,-,2,1,001,15670,1  ,126.97441336732021,37.573991003164934
24-0000013216,02-0000162670,180,대한신호,-,2,1,001,17944,1  ,126.97638176524968,37.55348062549173
24-0000009075,02-0000176460,180,한길HC,-,2,1,001,13803,1  ,126.84948216017573,37.565213810304044
24-0000009070,02-0000176451,180,-,-,2,1,001,13798,1  ,126.85073674350713,37.567565224208046
24-0000020115,02-0000123715,-,대한신호,-,2,1,001,24843,-,,
24-0000020114,02-0000221107,-,대한신호,-,2,1,001,24842,-,,
24-0000020113,02-0000135841,-,대한신호,-,2,1,001,24841,-,,
24-0000020112,02-0000221106,-,대한신호,-,2,1,001,24840,-,,
24-0000020111,02-0000221105,-,대한신호,-,2,1,001,24839,-,,
24-0000009225,02-0000176927,180,대한신호,-,2,1,001,13953,1  ,126.88413258340815,37.50838854397779
24-0000010104,02-0000158009,180,-,-,2,1,001,14832,1  ,126.89846431340096,37.483831225123936
24-0000013301,02-0000057331,180,대한신호,-,2,1,001,18029,1  ,126.95972488982528,37.538628496321564
24-0000013300,02-0000124584,180,대한신호,-,2,1,001,18028,1  ,126.90875866916898,37.57678228876722
24-0000010125,02-0000132408,180,-,-,1,1,001,14853,1  ,126.89437415843815,37.483532175022575
24-0000010256,02-0000021689,180,-,-,2,1,001,14984,1  ,126.91000646505827,37.480859030541026
24-0000008260,02-0000089132,180,-,0,2,1,001,7415,1  ,127.01519654965405,37.62023609607185
24-0000010525,02-0000178495,180,-,-,1,1,001,15253,1  ,127.0431484100851,37.48194321751671
24-0000017847,02-0000076878,-,한길에이치씨,-,2,1,001,22575,-,127.05813194130315,37.6098799580872
24-0000010538,02-0000098380,180,(주)대한신호,-,2,1,001,15266,1  ,127.0308817285397,37.49913587528919
24-0000010542,02-0000035082,180,(주)대한신호,-,2,1,001,15270,1  ,127.03131156082016,37.49893552210397
24-0000012026,02-0000117253,180,한길에이치씨,-,2,1,001,16754,1  ,127.01910098767367,37.63306773896855
24-0000010835,02-0000179530,180,(주)한길HC,-,2,1,001,15563,1  ,127.13152975637158,37.48806325709571
24-0000010803,02-0000179520,180,(주)대한신호,-,2,1,001,15531,1  ,127.13093345383587,37.488456777948166
24-0000010851,02-0000129085,180,-,-,2,1,001,15579,1  ,127.01447129069481,37.6480247448592
24-0000010904,02-0000179704,180,대한신호,-,2,1,001,15632,1  ,126.96387956863502,37.56221966763451
24-0000003686,02-0000137323,180,-,-,1,1,001,10782,1  ,126.93738328380174,37.55173326000757
24-0000001401,02-0000137339,180,-,-,1,1,001,10786,1  ,126.97718600944938,37.52176889666204
24-0000001402,02-0000137341,180,삼일안전시스템,-,2,1,001,10787,1  ,126.97700357512039,37.52169526325049
24-0000001402,02-0000137341,180,-,-,1,1,001,10788,1  ,126.97706152916267,37.52170713755302
24-0000001399,02-0000064746,180,삼일안전시스템,-,2,1,001,10789,1  ,126.97679993453926,37.521509611183
24-0000001399,02-0000137342,180,-,-,1,1,001,10790,1  ,126.97687354515556,37.52147647922523
24-0000004130,02-0000137367,180,-,-,1,1,001,10791,1  ,126.97039418134125,37.5850211954071
24-0000004129,02-0000137368,180,0,0,1,1,001,10793,1  ,126.9702851685997,37.58514738200896
24-0000004129,02-0000137368,180,-,-,1,1,001,10794,1  ,126.97028516645084,37.58514737624205
24-0000006001,02-0000137541,180,대한신호,0,2,1,001,10808,1  ,127.0786765070517,37.61518226821
24-0000008449,02-0000137409,135,삼일안전시스템,0,2,1,001,10796,1  ,126.88376994356983,37.49759338813152
24-0000008450,02-0000137413,45 ,삼일안전시스템,0,2,1,001,10797,1  ,126.88388891866208,37.49762444292284
24-0000005256,02-0000137427,180,삼일안전시스템,0,1,1,001,10800,1  ,126.90095178783676,37.55486206254835
24-0000005255,02-0000137429,180,삼일안전시스템,0,1,1,001,10801,1  ,126.90083004268568,37.554746784508666
24-0000004850,02-0000137525,180,삼일안전시스템,-,1,1,001,10803,1  ,127.01581605727281,37.57290549828611
24-0000004850,02-0000137525,180,삼일안전시스템,-,1,1,001,10804,1  ,127.01596683411535,37.57300708850694
24-0000020056,02-0000137535,-,대한신호,-,2,1,001,24784,-,,
24-0000006000,02-0000137534,180,대한신호,0,2,1,001,10805,1  ,127.07862450651793,37.61527465784891
24-0000020055,02-0000157495,-,대한신호,-,2,1,001,24783,-,,
24-0000020054,02-0000159969,-,대한신호,-,2,1,001,24782,-,,
24-0000001868,02-0000137551,270,-,0,1,1,001,10809,1  ,127.04579616165941,37.56786383332347
24-0000001868,02-0000137551,180,-,-,1,1,001,10810,1  ,127.04579616165941,37.56786383332347
24-0000020053,02-0000081214,-,대한신호,-,2,1,001,24781,-,,
24-0000000347,02-0000137597,180,-,-,1,1,001,10813,1  ,126.92161322895849,37.50409151350002
24-0000020052,02-0000169244,-,대한신호,-,2,1,001,24780,-,,
24-0000003875,02-0000137598,180,-,-,1,1,001,10815,1  ,126.92191847973591,37.50402169385585
24-0000003720,02-0000137600,180,-,-,2,1,001,10816,1  ,126.9202744554886,37.498721219443894
24-0000003720,02-0000137600,180,-,-,1,1,001,10817,1  ,126.92028238869501,37.49870633257905
24-0000003721,02-0000137601,180,한길에이치씨,-,2,1,001,10819,1  ,126.92024392033005,37.49830469043586
24-0000003721,02-0000137601,180,-,-,1,1,001,10820,1  ,126.92020770912151,37.49833604928452
24-0000003719,02-0000137604,180,(주)네오텔레콤,-,2,1,001,10821,1  ,126.91637820027876,37.49703837440322
24-0000003719,02-0000137604,180,-,-,1,1,001,10822,1  ,126.91633293459128,37.49702851955336
24-0000003722,02-0000137605,180,-,-,2,1,001,10823,1  ,126.91649027021334,37.49694192679091
24-0000003724,02-0000137612,180,한길에이치씨,-,1,1,001,10825,1  ,126.91138692571212,37.495426500427854
24-0000003724,02-0000137612,180,양광시스템,-,2,1,001,10826,1  ,126.91144153665799,37.49542512889898
24-0000003724,02-0000137612,180,-,-,1,1,001,10827,1  ,126.91138692571212,37.495426500427854
24-0000003725,02-0000137613,180,한길에이치씨,-,1,1,001,10828,1  ,126.91154515054616,37.49547032809234
24-0000020051,02-0000080799,-,대한신호,-,2,1,001,24779,-,,
24-0000020050,02-0000080800,-,대한신호,-,2,1,001,24778,-,,
24-0000005662,02-0000158406,180,한국전기교통,0,1,1,001,11764,1  ,126.91593983377639,37.55484823772074
24-0000005663,02-0000158409,180,한길에이치씨,-,2,1,001,11765,1  ,126.9155509549015,37.55510597466593
24-0000005663,02-0000158409,180,한국전기교통,0,1,1,001,11766,1  ,126.9155131827549,37.55511082426028
24-0000002092,02-0000105831,180,삼일안전시스템,-,2,1,001,8771,1  ,126.90388014864932,37.56317711245667
24-0000002092,02-0000105831,180,-,-,1,1,001,8772,1  ,126.90389724318163,37.56321294773925
24-0000002092,02-0000105831,180,삼일안전시스템,-,1,1,001,8773,1  ,126.90389724318163,37.56321294773925
24-0000000062,02-0000105841,180,-,-,1,1,001,8775,1  ,126.9102906784886,37.5560929872503
24-0000005252,02-0000105996,180,삼일안전시스템,-,1,1,001,8777,1  ,126.93559701347155,37.57652059919473
24-0000005252,02-0000105996,180,삼일안전시스템,0,1,1,001,8778,1  ,126.93559701347155,37.57652059919473
24-0000001207,02-0000106000,180,-,-,2,1,001,8780,1  ,126.99090841217141,37.522398126566365
24-0000004349,02-0000106003,180,양광시스템,-,2,1,001,8782,1  ,126.9144223556429,37.48207979945062
24-0000004349,02-0000106003,180,-,-,1,1,001,8783,1  ,126.91438244474759,37.48211401379262
24-0000002109,02-0000106004,180,-,-,2,1,001,8784,1  ,126.90025857349599,37.45486104386522
24-0000002132,02-0000106010,180, ,-,1,1,001,8786,1  ,127.08654674470117,37.566423197626214
24-0000002132,02-0000106010,180,관급,-,1,1,001,8787,1  ,127.08654674470117,37.566423197626214
24-0000002132,02-0000106010,180,-,-,1,1,001,8788,1  ,127.08654674470117,37.566423197626214
24-0000002145,02-0000106013,180,-,-,2,1,001,8789,1  ,127.08727317017325,37.562212141833974
24-0000002145,02-0000106013,180,-,-,1,1,001,8790,1  ,127.08726695895383,37.56223801210109
24-0000005022,02-0000106015,180,(주)한길에이치씨,0,1,1,001,8791,1  ,126.84885347526757,37.56423442125654
24-0000002756,02-0000106019,180,-,-,1,1,001,8792,1  ,127.14298109391139,37.5462164724862
24-0000002756,02-0000106019,180,0,-,1,1,001,8793,1  ,127.14298109391139,37.5462164724862
24-0000006133,02-0000106036,180,한길에이치씨,0,1,1,001,8797,1  ,126.92141874180878,37.554955014696354
24-0000006133,02-0000106036,180,한길에이치씨,-,1,1,001,8798,1  ,126.92141874180878,37.554955014696354
24-0000004420,02-0000106055,180,0,-,1,1,001,8800,1  ,127.1313462563716,37.53603165998681
24-0000004420,02-0000106055,180,-,-,1,1,001,8801,1  ,127.1313462563716,37.53603165998681
24-0000004561,02-0000106060,180,-,-,1,1,001,8802,1  ,127.06793295984393,37.63598291816118
24-0000004561,02-0000106060,180,0,0801-022(수),1,1,001,8803,1  ,127.06793295984393,37.63598291816118
24-0000002187,02-0000106065,180,삼일안전시스템,-,1,1,001,8806,1  ,127.06117371831661,37.63173520491634
24-0000002187,02-0000106065,180,-,-,1,1,001,8807,1  ,127.06117371831661,37.63173520491634
24-0000008721,02-0000106086,180,-,0,2,1,001,8808,1  ,126.98145523230829,37.47675610212263
24-0000006998,02-0000106089,180,(주)대한신호,0,2,1,001,8809,1  ,127.12124867467138,37.48895512312567
24-0000000639,02-0000106115,180,0,0,1,1,001,8811,1  ,127.11885325720631,37.5000300907764
24-0000000639,02-0000106115,180,-,-,1,1,001,8812,1  ,127.11885325720631,37.5000300907764
24-0000000380,02-0000106117,180,삼일안전시스템,-,2,1,001,8814,1  ,127.12364554649386,37.49504166084076
24-0000000380,02-0000106117,180,-,-,1,1,001,8815,1  ,127.12363754185994,37.495047008102404
24-0000000644,02-0000106118,180,-,-,1,1,001,8816,1  ,127.12611246105264,37.49131196915323
24-0000005170,02-0000118689,180,(주)네오텔레콤,0,1,1,001,9770,1  ,127.02690487597663,37.466044016872644
24-0000001296,02-0000118690,180,-,-,1,1,001,9771,1  ,127.02537124588439,37.46465677529486
24-0000003301,02-0000118691,180,0,-,1,1,001,9772,1  ,127.02240558220429,37.46218828604214
24-0000003301,02-0000118691,180,-,-,1,1,001,9773,1  ,127.02240558220429,37.46218828604214
24-0000007344,02-0000118714,180,대한신호,0,2,1,001,9774,1  ,127.01655112471788,37.5097624298793
24-0000005059,02-0000118938,180,.,0,1,1,001,9778,1  ,126.90322127346631,37.57658861407216
24-0000005669,02-0000158437,180,한길HC,0,1,1,001,11771,1  ,126.92647838532532,37.5233091251671
24-0000005668,02-0000158437,180,한길HC,0,1,1,001,11772,1  ,126.92647838532532,37.5233091251671
24-0000005669,02-0000158437,180,한길HC,-,1,1,001,11773,1  ,126.92647838532532,37.5233091251671
24-0000005668,02-0000158437,180,한길HC,-,1,1,001,11774,1  ,126.92647838532532,37.5233091251671
24-0000018363,02-0000022583,-,대한신호,-,2,1,001,23091,-,126.95725296878962,37.4786751695486
24-0000018407,02-0000108176,-,한길에이치씨,-,2,1,001,23135,-,126.96367326518052,37.50860511117968
24-0000018406,02-0000118647,-,한길에이치씨,-,2,1,001,23134,-,126.96368816881409,37.508483480117874
24-0000005672,02-0000158440,180,한길HC,0,1,1,001,11778,1  ,126.92635667548066,37.5228360230784
24-0000001132,02-0000039662,180,㈜신흥트레픽,-,2,1,001,3915,1  ,127.06706728185038,37.50100570085899
24-0000005673,02-0000158441,180,한길HC,0,1,1,001,11780,1  ,126.92616019483798,37.52281673310895
24-0000002639,02-0000043947,180,대한신호,-,2,1,001,4138,1  ,127.1558081807174,37.54632685365594
24-0000005674,02-0000158442,180,한길HC,0,1,1,001,11782,1  ,126.92597637643937,37.522965124238276
24-0000005675,02-0000158443,180,한길HC,0,1,1,001,11784,1  ,126.92841598490803,37.52422474501083
24-0000005678,02-0000158444,180,한길HC,0,2,1,001,11785,1  ,126.92875682524352,37.52438526784201
24-0000002642,02-0000219241,180,대한신호,-,2,1,001,4141,1  ,127.1560401455092,37.54608537269373
24-0000002020,02-0000003893,180,대한신호,-,2,1,001,386,1  ,126.91192474270345,37.56498060178368
24-0000005683,02-0000158446,180,한길HC,0,1,1,001,11789,1  ,126.92828781053022,37.52436404085678
24-0000008508,02-0000174525,0  ,대한신호,0,2,1,001,13642,1  ,126.91209773576333,37.56514031134592
24-0000008716,02-0000048121,90 ,대한신호,0,2,1,001,11797,1  ,127.04475559846249,37.54538027284966
24-0000006504,02-0000158531,180,한길에이치씨,0,2,1,001,11798,1  ,127.0971078285155,37.599038201332895
24-0000006505,02-0000158533,180,한길에이치씨,0,2,1,001,11799,1  ,127.09758198745794,37.599135121908525
24-0000006507,02-0000158534,180,한길에이치씨,0,2,1,001,11800,1  ,127.09760464903773,37.59938141681252
24-0000012846,02-0000193935,180,대한신호,-,2,1,001,17574,1  ,127.15610173548376,37.546114010607326
24-0000009271,02-0000174246,180,대한신호,-,2,1,001,13999,1  ,126.91179502681015,37.56548208863813
24-0000008505,02-0000174520,180,대한신호,0,2,1,001,13639,1  ,126.91138819701973,37.56527926169073
24-0000003901,02-0000139032,180,대한신호,-,2,1,001,10975,1  ,126.92648470268347,37.545520504117
24-0000002228,02-0000019908,180,대한신호,-,2,1,001,2365,1  ,126.93653394895095,37.47679862783516
24-0000002645,02-0000219243,180,대한신호,-,2,1,001,4142,1  ,127.1561666690032,37.54633806197395
24-0000012804,02-0000047624,180,대한신호,-,2,1,001,17532,1  ,127.15346331487403,37.555035799458466
24-0000011836,02-0000128022,180,대한신호,-,2,1,001,16564,1  ,126.89471559275925,37.5755208941056
24-0000008151,02-0000047635,180,대한신호,0,2,1,001,4244,1  ,127.15317548325207,37.55485349609401
24-0000005961,02-0000105446,180,한길에이치씨,0,1,1,001,8756,1  ,126.9191093064138,37.63541421234476
24-0000004035,02-0000105516,180,0,-,1,1,001,8760,1  ,126.90643289719235,37.592057529870274
24-0000004035,02-0000105516,180,-,-,1,1,001,8761,1  ,126.90643289719235,37.592057529870274
24-0000001633,02-0000105533,180,-,-,1,1,001,8763,1  ,126.997074666759,37.57082300981576
24-0000016450,02-0000046976,-,대한신호,-,2,1,001,21178,-,127.15203451365893,37.55482850397095
24-0000000680,02-0000105599,180,-,-,1,1,001,8767,1  ,126.91892214150772,37.59595735536743
24-0000001652,02-0000105683,180,삼일안전시스템,-,2,1,001,8769,1  ,126.9860553473644,37.576937895380915
24-0000001652,02-0000105683,180,-,-,1,1,001,8770,1  ,126.9860109706569,37.577047025323886
24-0000011108,02-0000178938,0  ,한길HC,-,2,1,001,15836,1  ,126.8460060115952,37.48196587613357
24-0000011098,02-0000180149,0  ,한길HC,-,2,1,001,15826,1  ,126.84174342195533,37.48360442332399
24-0000011089,02-0000178920,0  ,한길HC,-,2,1,001,15817,1  ,126.83908060519099,37.48649717599426
24-0000004599,02-0000135029,180,대한신호,-,1,1,001,10706,1  ,127.02350302157026,37.57144291769906
24-0000004599,02-0000135029,180,-,-,1,1,001,10707,1  ,127.02350302157026,37.57144291769906
24-0000001848,02-0000135066,180,삼일안전시스템,-,1,1,001,10709,1  ,126.97956403648358,37.57037019839628
24-0000001848,02-0000135066,180,-,-,1,1,001,10710,1  ,126.97956403648358,37.57037019839628
24-0000001849,02-0000135068,180,삼일안전시스템,-,1,1,001,10712,1  ,126.97956338898653,37.570055817753435
24-0000001849,02-0000135068,180,-,-,1,1,001,10713,1  ,126.97956338898653,37.570055817753435
24-0000000316,02-0000135069,180,(주)위앤기전,-,1,1,001,10714,1  ,126.97940115163993,37.57001497167269
24-0000000316,02-0000135069,180,-,-,1,1,001,10715,1  ,126.97940115163993,37.57001497167269
24-0000000317,02-0000135070,180,(주)위앤기전,-,1,1,001,10716,1  ,126.9791980486064,37.570046470898994
24-0000000317,02-0000135070,180,-,-,1,1,001,10717,1  ,126.9791980486064,37.570046470898994
24-0000004617,02-0000135084,180,-,-,1,1,001,10719,1  ,126.987433799386,37.567962812777886
24-0000003927,02-0000135146,180,-,-,2,1,001,10720,1  ,127.02330304477523,37.57207049850639
24-0000001856,02-0000135170,180,한길,-,2,1,001,10722,1  ,127.01604088739532,37.57010242909031
24-0000001856,02-0000135170,180,-,-,1,1,001,10723,1  ,127.01604439455791,37.570119307109984
24-0000004131,02-0000135648,180,-,-,1,1,001,10725,1  ,126.92113014303123,37.53139256223092
24-0000004161,02-0000135722,180,-,-,1,1,001,10727,1  ,126.95458256961523,37.49554368644125
24-0000000345,02-0000135739,180,-,-,1,1,001,10729,1  ,126.98583006410962,37.56858400987922
24-0000005553,02-0000135741,180,삼일안전시스템,0,1,1,001,10731,1  ,126.98781524439207,37.568371390159015
24-0000003705,02-0000135741,180,삼일안전시스템,-,1,1,001,10732,1  ,126.98781524439207,37.568371390159015
24-0000003705,02-0000135741,180,-,-,1,1,001,10733,1  ,126.98781524439207,37.568371390159015
24-0000008114,02-0000135747,180,-,0,2,1,001,10734,1  ,126.91322756708836,37.48680852833258
24-0000008804,02-0000135750,270,(주)대한신호,0,2,1,001,10737,1  ,126.91378889584041,37.48475736588575
24-0000003706,02-0000135794,180,(주)위앤기전,-,1,1,001,10738,1  ,127.02533334028783,37.62888230287226
24-0000003706,02-0000135794,180,(주)위앤기전,-,1,1,001,10739,1  ,127.02533334028783,37.62888230287226
24-0000003706,02-0000135794,180,-,-,1,1,001,10740,1  ,127.02533334028783,37.62888230287226
24-0000003707,02-0000135795,180,-,-,1,1,001,10742,1  ,127.02498327687216,37.628840601836544
24-0000003708,02-0000135797,180,삼일안전시스템,-,1,1,001,10743,1  ,127.0157546213397,37.569489298483184
24-0000003708,02-0000135797,180,-,-,1,1,001,10744,1  ,127.01572514404211,37.56954320447985
24-0000004950,02-0000135803,0  ,-,0,1,1,001,10745,1  ,127.03079512998917,37.57413904417105
24-0000004950,02-0000135803,0  ,0,-,1,1,001,10746,1  ,127.03079512998917,37.57413904417105
24-0000005939,02-0000135859,45 ,-,0,2,1,001,10747,1  ,127.03823726662436,37.57417346992295
24-0000005939,02-0000135859,0  ,-,-,1,1,001,10748,1  ,127.03823219932418,37.57419329512185
24-0000012764,02-0000194997,180,대한신호,-,2,1,001,17492,1  ,126.91866268153154,37.63729266356324
24-0000004610,02-0000135863,180,-,-,1,1,001,10750,1  ,127.03791630367841,37.573946732303966
24-0000003743,02-0000135890,180,대한신호,-,2,1,001,10751,1  ,126.91045493454911,37.47702981227303
24-0000003743,02-0000135890,180,대한신호,-,1,1,001,10752,1  ,126.91045493454911,37.47702981227303
24-0000003743,02-0000135890,180,-,-,1,1,001,10753,1  ,126.91045493454911,37.47702981227303
24-0000003743,02-0000135890,180,대한신호,-,1,1,001,10754,1  ,126.91045493454911,37.47702981227303
24-0000012843,02-0000158553,180,신흥IND,-,2,1,001,17571,1  ,126.9370698370152,37.553212065841564
24-0000004595,02-0000135910,180,-,-,1,1,001,10756,1  ,127.02568109138818,37.57457233118199
24-0000001295,02-0000122599,180,한길 HC,-,2,1,001,9855,1  ,127.02139609085827,37.50341151253702
24-0000013768,02-0000175516,180,한길 HC,-,2,1,001,18496,1  ,126.99294380977744,37.48902674499762
24-0000006423,02-0000136000,0  ,-,0,2,1,001,10759,1  ,127.06066986012495,37.64859308373094
24-0000005777,02-0000159218,180,한길 HC,0,2,1,001,11869,1  ,126.98219060082036,37.482819534501104
24-0000005394,02-0000136535,180,한길에이치씨,0,2,1,001,10761,1  ,127.0167790520771,37.62011287971293
24-0000002156,02-0000052650,180,한길 HC,-,2,1,001,4594,1  ,126.9858163183213,37.48569967082629
24-0000003685,02-0000136704,180,-,-,1,1,001,10766,1  ,126.93820960595352,37.54337228513997
24-0000012780,02-0000195010,180,한길 HC,-,2,1,001,17508,1  ,127.0216161142368,37.50228410291668
24-0000005609,02-0000158028,180,한길,0,2,1,001,11697,1  ,127.07954609316874,37.5812646390188
24-0000005611,02-0000158029,180,대한신호,0,1,1,001,11698,1  ,126.89081247895574,37.52511159724186
24-0000005612,02-0000158030,180,대한신호,0,1,1,001,11700,1  ,126.89055181812127,37.525108190214986
24-0000005612,02-0000158030,180,대한신호,-,2,1,001,11701,1  ,126.89061007133611,37.52510963436491
24-0000020019,02-0000221057,-,한길 HC,-,2,1,001,24747,-,,
24-0000005791,02-0000159271,180,한길 HC,0,2,1,001,11882,1  ,126.9819384341436,37.48518714714302
24-0000012842,02-0000195290,180,신흥IND,-,2,1,001,17570,1  ,126.96868376142736,37.555187731872905
24-0000012841,02-0000195297,180,신흥IND,-,2,1,001,17569,1  ,126.96871865289503,37.55536232446075
24-0000006088,02-0000158044,180,-,0,1,1,001,11707,1  ,126.99818576129368,37.562353169142085
24-0000008363,02-0000158060,45 ,삼일안전시스템,0,2,1,001,11709,1  ,127.03066371933782,37.57253825941175
24-0000008362,02-0000158061,135,삼일안전시스템,0,2,1,001,11710,1  ,127.03047268115598,37.57250264450405
24-0000012833,02-0000009442,180,신흥IND,-,2,1,001,17561,1  ,126.96926816005322,37.55726498029943
24-0000005642,02-0000158062,0  ,-,0,1,1,001,11712,1  ,127.13096228947876,37.49594521056504
24-0000006393,02-0000158144,180,신흥트레픽,0,1,1,001,11714,1  ,127.0925748376802,37.503179147755844
24-0000012832,02-0000009440,180,신흥IND,-,2,1,001,17560,1  ,126.96877771724247,37.557037342756736
24-0000008740,02-0000158199,90 ,삼일안전시스템,0,2,1,001,11716,1  ,127.10051206539956,37.51697784760892
24-0000012830,02-0000195282,180,신흥IND,-,2,1,001,17558,1  ,126.97576633055843,37.557343194086165
24-0000012829,02-0000195280,180,신흥IND,-,2,1,001,17557,1  ,126.9776528325731,37.55814274696108
24-0000005651,02-0000158352,180,-,-,1,1,001,11723,1  ,127.01174150081167,37.48392987819242
24-0000005650,02-0000158352,180,-,-,1,1,001,11724,1  ,127.01174150081167,37.48392987819242
24-0000005653,02-0000158353,180,-,-,1,1,001,11727,1  ,127.01153172437446,37.484310991050975
24-0000005652,02-0000158353,180,-,-,1,1,001,11728,1  ,127.01153172437446,37.484310991050975
24-0000005655,02-0000158354,180,-,0,1,1,001,11731,1  ,127.01112712170453,37.48426866830197
24-0000005654,02-0000158354,180,-,0,1,1,001,11732,1  ,127.01112712170453,37.48426866830197
24-0000005657,02-0000158355,180,-,0,1,1,001,11735,1  ,127.01129529359595,37.48387763265088
24-0000005656,02-0000158355,180,-,0,1,1,001,11736,1  ,127.01129529359595,37.48387763265088
24-0000006564,02-0000158357,180,한길,0,1,1,001,11738,1  ,127.03565264923843,37.56107391579062
24-0000006563,02-0000158357,180,-,-,1,1,001,11740,1  ,127.03565264923843,37.56107391579062
24-0000006562,02-0000158358,180,한길,0,2,1,001,11741,1  ,127.03547806008795,37.56092732876517
24-0000006561,02-0000158358,180,한길,0,1,1,001,11742,1  ,127.03543389189322,37.56092620934941
24-0000006561,02-0000158358,180,-,-,2,1,001,11743,1  ,127.03545612954684,37.56092395661521
24-0000006560,02-0000158359,180,한길,0,1,1,001,11744,1  ,127.03521766986383,37.56114299358401
24-0000006560,02-0000158359,180,-,-,2,1,001,11745,1  ,127.0352588553407,37.56110703065776
24-0000006559,02-0000158360,180,한길,0,1,1,001,11746,1  ,127.03521011673116,37.56119099472546
24-0000006568,02-0000158361,180,한길,0,1,1,001,11748,1  ,127.03538086026164,37.561443602709396
24-0000006567,02-0000158361,180,한길,0,1,1,001,11749,1  ,127.03538086026164,37.561443602709396
24-0000006567,02-0000158361,180,한길,-,1,1,001,11750,1  ,127.03538086026164,37.561443602709396
24-0000006566,02-0000158362,180,한길,0,2,1,001,11751,1  ,127.03565478829786,37.56127325827385
24-0000006565,02-0000158362,180,한길,0,1,1,001,11752,1  ,127.03564110600213,37.56129645240174
24-0000006565,02-0000158362,180,-,-,2,1,001,11753,1  ,127.03563994065156,37.561289030199134
24-0000005660,02-0000158367,180,한국전기교통,0,1,1,001,11754,1  ,126.94647542708519,37.56646058353118
24-0000005659,02-0000158367,180,한국전기교통,0,1,1,001,11755,1  ,126.94647542708519,37.56646058353118
24-0000005660,02-0000158367,180,한국전기교통,-,1,1,001,11756,1  ,126.94647542708519,37.56646058353118
24-0000005661,02-0000158368,180,한국전기교통,0,1,1,001,11757,1  ,126.94684177537732,37.566222441048616
24-0000005661,02-0000158368,180,한국전기교통,-,1,1,001,11758,1  ,126.94684177537732,37.566222441048616
24-0000001833,02-0000104946,180,.,-,1,1,001,8693,1  ,126.93410837037193,37.605980665527866
24-0000001833,02-0000104946,180,삼일안전시스템,-,2,1,001,8694,1  ,126.93420173388873,37.605924228844835
24-0000001833,02-0000104946,180,-,-,1,1,001,8695,1  ,126.93410837037193,37.605980665527866
24-0000007431,02-0000104994,180,한길,0,1,1,001,8697,1  ,126.91713474843755,37.59028203295076
24-0000001486,02-0000104994,180,대한신호,-,1,1,001,8698,1  ,126.91713474843755,37.59028203295076
24-0000001486,02-0000104994,180,-,-,1,1,001,8699,1  ,126.91713474843755,37.59028203295076
24-0000007425,02-0000104995,180,한길,0,1,1,001,8700,1  ,126.91702312372925,37.589859504201826
24-0000007470,02-0000104995,0  ,대한신호(주),0,2,1,001,8701,1  ,126.91703298455235,37.58985633468656
24-0000001912,02-0000105013,180,삼일안전시스템,-,1,1,001,8704,1  ,126.92925280498423,37.61106881309235
24-0000001803,02-0000105057,180,-,-,1,1,001,8708,1  ,126.96612679998509,37.56549119023746
24-0000001820,02-0000105157,180,-,-,1,1,001,8711,1  ,126.99299662570455,37.5642657536011
24-0000005052,02-0000105159,180,진우산전(주),0,1,1,001,8714,1  ,126.98561310443161,37.55675778335914
24-0000002029,02-0000105207,180,-,-,1,1,001,8716,1  ,126.97353750749839,37.563051375415405
24-0000001769,02-0000105208,180,-,-,1,1,001,8717,1  ,126.99855102551341,37.564460305432824
24-0000003393,02-0000105214,180,-,-,1,1,001,8720,1  ,126.97935152915231,37.56891402968245
24-0000004703,02-0000105337,180,.,-,1,1,001,8723,1  ,126.92453060808818,37.61360935378027
